exercise_id,muscle_id,role,source
1,20,primary,movement-analysis; elbow extension with the humerus flexed -> long-head emphasis
2,21,primary,movement-analysis; pushdown with the humerus at the side -> lateral/medial-head emphasis
3,23,primary,movement-analysis
4,30,primary,movement-analysis; neutral grip -> brachioradialis is a prime mover
4,26,primary,movement-analysis; neutral grip -> brachialis is a prime mover
4,23,secondary,movement-analysis
5,6,primary,movement-analysis
5,13,secondary,movement-analysis
5,23,secondary,movement-analysis
6,3,primary,movement-analysis
6,15,secondary,movement-analysis
7,3,primary,movement-analysis
7,19,secondary,user-ruling R2; dumbbell press loads triceps significantly
7,15,secondary,movement-analysis
8,30,primary,movement-analysis; corrects FitNotes category (filed Forearms; it is elbow flexion)
8,26,primary,movement-analysis; corrects FitNotes category (filed Forearms; it is elbow flexion)
8,29,secondary,movement-analysis; pronated grip loads the wrist extensors isometrically
9,2,primary,movement-analysis
9,15,secondary,user-ruling R2; the shoulder can be the LIMITING factor on incline; failure can precede chest failure
9,19,secondary,user-ruling R2
10,8,primary,movement-analysis; corrects FitNotes category (filed Back; scapular elevation is upper traps)
10,31,secondary,movement-analysis; load is held in the hands throughout
11,16,primary,movement-analysis
12,29,primary,movement-analysis
13,17,primary,movement-analysis
13,11,secondary,movement-analysis
13,9,secondary,movement-analysis
14,4,primary,movement-analysis
14,19,secondary,user-ruling R2; decline is NOT shoulder-limited the way incline is
15,33,primary,movement-analysis
16,28,primary,movement-analysis
17,34,primary,movement-analysis
18,6,primary,movement-analysis
18,9,primary,movement-analysis
18,11,primary,movement-analysis
18,23,secondary,movement-analysis
19,6,primary,movement-analysis
19,23,secondary,movement-analysis
20,16,primary,movement-analysis
20,8,primary,movement-analysis
20,23,secondary,movement-analysis
21,23,primary,movement-analysis
22,9,primary,movement-analysis
22,11,primary,movement-analysis
22,17,primary,movement-analysis; wide grip shifts the row toward horizontal abduction
22,6,secondary,movement-analysis
22,23,secondary,movement-analysis
23,15,primary,movement-analysis
23,19,secondary,user-ruling R2; dumbbell press loads triceps significantly
23,16,secondary,movement-analysis
24,33,primary,movement-analysis
24,35,primary,movement-analysis
24,37,primary,movement-analysis; the wide stance is what distinguishes sumo from a conventional squat
25,6,primary,movement-analysis
25,23,secondary,movement-analysis
26,23,primary,movement-analysis
26,26,secondary,movement-analysis
27,6,primary,movement-analysis; lat vs pec emphasis is genuinely contested; both edges kept deliberately
27,3,secondary,movement-analysis; lat vs pec emphasis is genuinely contested
28,33,primary,movement-analysis
28,35,secondary,movement-analysis
28,34,secondary,movement-analysis
30,15,primary,movement-analysis
30,19,secondary,movement-analysis
30,16,secondary,movement-analysis
31,12,primary,user-ruling R2; deadlift works the whole back
31,35,primary,user-ruling R2; deadlift works glutes
31,34,primary,user-ruling R2; deadlift works hamstrings
31,8,secondary,user-ruling R2; deadlift works the whole back
